name,code,price,category,unit,stock,description,barcode,moysklad_id
Прут А1 гладкая Ф 10 Северсталь,00258,35.0,Прут,м,0,,2000000002743,cd262d6e-a5a1-11ea-0a80-00ac0020ce76
Прут А1 гладкая Ф 12 Северсталь,00176,45.0,Прут,м,0,,2000000001920,cd284c6b-a5a1-11ea-0a80-00ac0020ce79
Прут А1 гладкая Ф 14 Северсталь,00261,85.0,Прут,м,0,,2000000002774,cd2a9ce1-a5a1-11ea-0a80-00ac0020ce7c
Прут А1 гладкая Ф 16 Северсталь,00235,90.0,Прут,м,0,,2000000002514,cd2ca12e-a5a1-11ea-0a80-00ac0020ce7f
Прут А1 гладкая Ф 18 Северсталь,00207,110.0,Прут,м,0,,2000000002231,cd2e8057-a5a1-11ea-0a80-00ac0020ce82
Прут А1 гладкая Ф 20 Северсталь,00214,200.0,Прут,м,0,,2000000002309,cd30431c-a5a1-11ea-0a80-00ac0020ce85
Прут А1 гладкая Ф 6 Северсталь,00197,14.0,Прут,м,0,,2000000002132,cd22a3e3-a5a1-11ea-0a80-00ac0020ce70
Прут А1 гладкая Ф 8 Северсталь,00255,22.0,Прут,м,0,,2000000002712,cd24600e-a5a1-11ea-0a80-00ac0020ce73
Саморезы 19мм белый 9003,00444,4.0,Саморезы,шт,0,,2000000005416,e064f03d-7278-11ee-0a80-13060016da1b
Саморезы 19мм вишнев 3005,00362,3.0,Саморезы,шт,0,,2000000004228,b556c02b-1793-11eb-0a80-011f0002845d
Саморезы 19мм зелен 6005,00361,4.0,Саморезы,шт,0,,2000000004211,862ea199-1793-11eb-0a80-012000027f79
Саморезы 19мм корич 8017,00360,4.0,Саморезы,шт,0,,2000000004204,612c3881-1793-11eb-0a80-012000027541
Саморезы 19мм оцинкованные,00366,4.0,Саморезы,шт,0,,2000000004266,8c879266-1797-11eb-0a80-06a60002eba6
Саморезы 19мм серый 7024,00443,4.0,Саморезы,шт,0,,2000000005409,99aef562-7278-11ee-0a80-0f7b00151893
Саморезы 35мм корич дерево 8017,00446,4.0,Саморезы,шт,0,,2000000005430,fec7bfc3-7279-11ee-0a80-046f00153456
Саморезы 35мм т корич 8019 дерево,00445,4.0,Саморезы,шт,0,,2000000005423,4dab7f8b-7279-11ee-0a80-05b80015cb4d
Труба водогазопроводная ду 15х2.5 Северсталь,00208,58.0,Труба вгп,м,0,,2000000002248,ceb1b6b6-a5a1-11ea-0a80-00ac0020cfa4
Труба водогазопроводная ду 15х2.8 Северсталь,00215,80.0,Труба вгп,м,0,,2000000002316,ceb3c9fd-a5a1-11ea-0a80-00ac0020cfab
